Date,Created timezone,Profile name,Profile URL,Profile followers,Profile ID,Post detail URL,Mentioned profiles ID,Collaborators,Content ID,Platform,Content type,Media type,Origin of the content,Title,Description,Author URL,Author ID,Author name,Content,Link URL,View on platform,Organic interactions,Total interactions,Organic interactions per 1000 followers,Interactions per 1000 followers,Grade,Last grade,Sentiment,Positive comments,Positive comments (%),Negative comments,Negative comments (%),Neutral comments,Neutral comments (%),Total reactions,Organic likes,Total comments,Save rate,Organic comments,Total shares,Deleted,Hidden,Spam,Unpublished,Saves,Engagements,Promoted post detection,Reactions - like,Reactions - love,Reactions - haha,Reactions - wow,Reactions - sad,Reactions - angry,Shared,Crosspost,Live,Crosspostable,Total reach,Paid reach,Organic reach,Total impressions,Paid impressions,Organic impressions,Impressions engagement rate,Reach engagement rate,Engaged users,Negative feedback,Lifetime post stories,Total likes,Total story likes,Total story comments,Total story shares,Post consumers,Post clicks,Photo views,Link clicks,Other clicks,Media views,Video play,Insights reactions - like,Insights reactions - love,Insights reactions - haha,Insights reactions - wow,Insights reactions - sad,Insights reactions - angry,Insights reactions,Video length (sec),Video view count,Total video view time (sec),Recorded,Views - auto-played,Views - click to play,Views - organic,Views - paid,Views - unique,Initial video views,10-second views,10-second views - auto-played,10-second views - click to play,10-second views - organic,10-second views - paid,10-second views - unique,30-second views,30-second views - auto-played,30-second views - click to play,30-second views - organic,30-second views - paid,30-second views - unique,Completed video views,Average completion (%),Average time watched (sec),Exits,Taps back,Taps forward,Completion rate,Labels,Label groups,Media tags,Insights video view count,Insights comments,Insights like count,Insights dislike count,Insights share count,Engagements - YouTube insights,Insights subscribers lost,Insights subscribers gained,Insights view time,Swipe up,Swipe down,Screenshots,Media view time,Avg. Video Views per Video
03/03/2026,UTC +04:00,The National,https://twitter.com/TheNationalNews,1050780,20583993,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjIwMjg3ODA4MzI5MjQ1MTIzMTIiLCJwcm9maWxlSWQiOiIyMDU4Mzk5MyIsIm5ldHdvcmsiOiJ0d2l0dGVyIn0=/overview,20583993,,2028780832924512312,twitter,post,link,Brand's content,,,https://twitter.com/TheNationalNews,20583993,The National,Sharjah Police warn public about unlicensed use of fireworks https://t.co/Txr1L2VPdz,,https://twitter.com/20583993/status/2028780832924512312,,5,,0.0047584,,,,,,,,,,5,,0,,,0,,,,,,32,,,,,,,,,,,,,,,2492,,2492,1.28%,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
03/03/2026,UTC +04:00,The National,https://www.facebook.com/TheNationalNews,2255796,148788988477345,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjE0ODc4ODk4ODQ3NzM0NV8xMzU5MzUxMjkyODg3OTU4IiwicHJvZmlsZUlkIjoiMTQ4Nzg4OTg4NDc3MzQ1IiwibmV0d29yayI6ImZhY2Vib29rIn0=/overview,,,148788988477345_1359351292887958,facebook,post,link,Brand's content,Sharjah Police warn public about unlicensed use of fireworks | The National,,https://www.facebook.com/TheNationalNews,148788988477345,The National,"'Not a good time to use firecrackers' during Iran's aerial attacks, resident warns",https://www.thenationalnews.com/news/uae/2026/03/03/sharjah-police-warn-public-about-unlicensed-use-of-fireworks/?utm_term=Autofeed&utm_medium=Social&utm_source=Facebook#Echobox=1772532047,https://www.facebook.com/148788988477345_1359351292887958,,22,,0.009752655,C,,,,,,,,,22,,0,,,0,,FALSE,FALSE,,,74,organic,21,0,1,0,0,0,,,,,6817,0,6817,9255,0,9255,0.80%,1.09%,,,26,22,26,,,,48,,25,23,9255,,24,,2,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
03/03/2026,UTC +04:00,The National,https://twitter.com/TheNationalNews,1050813,20583993,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjIwMjg3ODYwODcwNzg4NzE0ODEiLCJwcm9maWxlSWQiOiIyMDU4Mzk5MyIsIm5ldHdvcmsiOiJ0d2l0dGVyIn0=/overview,20583993,,2028786087078871481,twitter,post,link,Brand's content,,,https://twitter.com/TheNationalNews,20583993,The National,Brent surges past $80 per barrel with $120 a possibility as war tensions rise https://t.co/E6j3Uqrhqm,,https://twitter.com/20583993/status/2028786087078871481,,5,,0.0047582,,,,,,,,,,4,,0,,,1,,,,,,20,,,,,,,,,,,,,,,1416,,1416,1.41%,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
03/03/2026,UTC +04:00,The National,https://www.facebook.com/TheNationalNews,2255796,148788988477345,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjE0ODc4ODk4ODQ3NzM0NV8xMzU5MzU5NTY5NTUzNzk3IiwicHJvZmlsZUlkIjoiMTQ4Nzg4OTg4NDc3MzQ1IiwibmV0d29yayI6ImZhY2Vib29rIn0=/overview,,,148788988477345_1359359569553797,facebook,post,link,Brand's content,Israel vows to seize more territory in Lebanon | The National,,https://www.facebook.com/TheNationalNews,148788988477345,The National,Military deployed additional forces to southern Lebanon ⁠overnight,https://www.thenationalnews.com/news/mena/2026/03/03/israel-vows-to-seize-more-territory-in-lebanon/?utm_term=Autofeed&utm_medium=Social&utm_source=Facebook#Echobox=1772533341,https://www.facebook.com/148788988477345_1359359569553797,,19,,0.008422747,C,,,,,,,,,16,,0,,,3,,FALSE,FALSE,,,52,organic,15,0,0,0,0,1,,,,,6119,0,6119,8168,0,8168,0.64%,0.85%,,,19,16,16,,3,,33,,17,16,8168,,15,,,,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
03/03/2026,UTC +04:00,The National,https://twitter.com/TheNationalNews,1050824,20583993,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjIwMjg3ODg1NjA1NTIxOTgyMjgiLCJwcm9maWxlSWQiOiIyMDU4Mzk5MyIsIm5ldHdvcmsiOiJ0d2l0dGVyIn0=/overview,20583993,,2028788560552198228,twitter,post,photo,Brand's content,,,https://twitter.com/TheNationalNews,20583993,The National,The UN ​nuclear ⁠watchdog has said ​there was some ⁠damage ​to ⁠entrance ‌buildings ​at Iran's Natanz fuel enrichment plant after US and Israeli strikesFollow our live coverage: https://t.co/VZ4KoQ5vFi https://t.co/i7WnUAFFjO,,https://twitter.com/20583993/status/2028788560552198228,,3,,0.0028549,,,,,,,,,,3,,0,,,0,,,,,,29,,,,,,,,,,,,,,,1445,,1445,2.01%,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
03/03/2026,UTC +04:00,The National,https://www.facebook.com/TheNationalNews,2255796,148788988477345,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjE0ODc4ODk4ODQ3NzM0NV8xMzU5MzY0MzQyODg2NjUzIiwicHJvZmlsZUlkIjoiMTQ4Nzg4OTg4NDc3MzQ1IiwibmV0d29yayI6ImZhY2Vib29rIn0=/overview,,,148788988477345_1359364342886653,facebook,post,photo,Brand's content,,"The UN ​nuclear ⁠watchdog has said ​there was some ⁠damage ​to ⁠entrance ‌buildings ​at Iran's Natanz fuel enrichment plant after US and Israeli strikes.'Based on the latest available satellite imagery, the IAEA can now confirm some recent damage to entrance buildings of Iran’s underground Natanz fuel enrichment plant,' the International Atomic Energy Agency said.It added that no radiological risk was expected. The site was severely damaged in the conflict last June.",https://www.facebook.com/TheNationalNews,148788988477345,The National,"The UN ​nuclear ⁠watchdog has said ​there was some ⁠damage ​to ⁠entrance ‌buildings ​at Iran's Natanz fuel enrichment plant after US and Israeli strikes.'Based on the latest available satellite imagery, the IAEA can now confirm some recent damage to entrance buildings of Iran’s underground Natanz fuel enrichment plant,' the International Atomic Energy Agency said.It added that no radiological risk was expected. The site was severely damaged in the conflict last June.",,https://www.facebook.com/148788988477345_1359364342886653,,169,,0.074918122,B,,no sentiment,0,0%,2,100%,0,0%,150,,3,,,16,,FALSE,FALSE,,,1387,organic,144,0,1,0,2,3,,,,,38557,0,38557,60037,0,60037,2.31%,3.60%,,,178,150,159,3,16,,1209,443,,766,60037,,153,,1,,2,3,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
03/03/2026,UTC +04:00,The National News,https://www.instagram.com/thenationalnews.com,658212,17841400442478033,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjE4MDQ1MTI2NzY0NzI2NTczIiwicHJvZmlsZUlkIjoiMTc4NDE0MDA0NDI0NzgwMzMiLCJuZXR3b3JrIjoiaW5zdGFncmFtIn0=/overview,,,18045126764726573,instagram,post,photo,Brand's content,,,https://www.instagram.com/thenationalnews.com,17841400442478033,The National News,"The UN ​nuclear ⁠watchdog has said ​there was some ⁠damage ​to ⁠entrance ‌buildings ​at Iran's Natanz fuel enrichment plant after US and Israeli strikes.'Based on the latest available satellite imagery, the IAEA can now confirm some recent damage to entrance buildings of Iran’s underground Natanz fuel enrichment plant,' the International Atomic Energy Agency said.It added that no radiological risk was expected. The site was severely damaged in the conflict last June.Follow our live coverage via the link in bio.",,https://www.instagram.com/p/DVa4FkvDoTU/,288,288,0.437549,0.437549,D,,no sentiment,0,0%,1,100%,0,0%,287,287,1,,1,105,,,,,29,427,,,,,,,,,,,,30514,,30514,50146,,50146,0.85%,1.40%,,,,287,,,,,,,,,50146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
03/03/2026,UTC +00:00,The National News,https://www.linkedin.com/company/thenationalnews,321992,535663,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6InVybjpsaTpzaGFyZTo3NDM0NTU0MjU4MjAyNTU0MzY5IiwicHJvZmlsZUlkIjoidXJuOmxpOm9yZ2FuaXphdGlvbjo1MzU2NjMiLCJuZXR3b3JrIjoibGlua2VkaW4ifQ==/overview,,,7434554258202554369,linkedin,post,photo,Brand's content,,,https://www.linkedin.com/company/thenationalnews,535663,The National News,"The UN ​nuclear ⁠watchdog has said ​there was some ⁠damage ​to ⁠entrance ‌buildings ​at Iran's Natanz fuel enrichment plant after US and Israeli strikes.'Based on the latest available satellite imagery, the IAEA can now confirm some recent damage to entrance buildings of Iran’s underground Natanz fuel enrichment plant,' the International Atomic Energy Agency said.It added that no radiological risk was expected. The site was severely damaged in the conflict last June.Follow our live coverage: https://news.ae/4cYThT3",,https://www.linkedin.com/feed/update/urn:li:share:7434554258202554369/,,2,,0.006211334,,,,,,,,,,2,2,0,,0,0,,,,,,170,,,,,,,,,,,,,,,5779,,5779,2.94%,,,,,2,,,,,168,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0
03/03/2026,UTC +04:00,The National,https://twitter.com/TheNationalNews,1050833,20583993,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjIwMjg3ODk5NjMwMTgzODM3NDQiLCJwcm9maWxlSWQiOiIyMDU4Mzk5MyIsIm5ldHdvcmsiOiJ0d2l0dGVyIn0=/overview,20583993,,2028789963018383744,twitter,post,link,Brand's content,,,https://twitter.com/TheNationalNews,20583993,The National,Israel vows to seize more territory in Lebanon https://t.co/JeZCBSAxz8,,https://twitter.com/20583993/status/2028789963018383744,,5,,0.0047581,,,,,,,,,,4,,0,,,1,,,,,,36,,,,,,,,,,,,,,,1686,,1686,2.14%,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
03/03/2026,UTC +04:00,The National,https://twitter.com/TheNationalNews,1050847,20583993,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjIwMjg3OTMxMTcxOTM2NzA2NzYiLCJwcm9maWxlSWQiOiIyMDU4Mzk5MyIsIm5ldHdvcmsiOiJ0d2l0dGVyIn0=/overview,20583993,,2028793117193670676,twitter,post,link,Brand's content,,,https://twitter.com/TheNationalNews,20583993,The National,Vladimir Putin to convey Gulf concerns to Iran over air strikes https://t.co/ZJ4ttwykBq,,https://twitter.com/20583993/status/2028793117193670676,,5,,0.0047581,,,,,,,,,,3,,0,,,2,,,,,,99,,,,,,,,,,,,,,,3352,,3352,2.95%,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
03/03/2026,UTC +04:00,The National,https://www.facebook.com/TheNationalNews,2255796,148788988477345,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjE0ODc4ODk4ODQ3NzM0NV8xMzU5Mzc1MzAyODg1NTU3IiwicHJvZmlsZUlkIjoiMTQ4Nzg4OTg4NDc3MzQ1IiwibmV0d29yayI6ImZhY2Vib29rIn0=/overview,,,148788988477345_1359375302885557,facebook,post,link,Brand's content,One Last Thing: Emirati actress Meera Almidfa on her childhood memories and what moves her most | The National,,https://www.facebook.com/TheNationalNews,148788988477345,The National,The star of Dubai TV Ramadan hit Dara 1961 takes our quick-fire questionnaire,https://www.thenationalnews.com/arts-culture/film-tv/2026/03/03/meera-al-midfa-emirati-actress/?utm_term=Autofeed&utm_medium=Social&utm_source=Facebook#Echobox=1772535924,https://www.facebook.com/148788988477345_1359375302885557,,1,,0.000443302,D,,,,,,,,,1,,0,,,0,,FALSE,FALSE,,,17,organic,1,0,0,0,0,0,,,,,3560,0,3560,5109,0,5109,0.33%,0.48%,,,1,1,1,,,,16,,11,5,5109,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
03/03/2026,UTC +04:00,The National,https://twitter.com/TheNationalNews,1050851,20583993,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjIwMjg3OTQ5NDM3NjI4MDg4NDUiLCJwcm9maWxlSWQiOiIyMDU4Mzk5MyIsIm5ldHdvcmsiOiJ0d2l0dGVyIn0=/overview,20583993,,2028794943762808845,twitter,post,video,Brand's content,,,https://twitter.com/TheNationalNews,20583993,The National,"Satellite images released after US and Israeli strikes on Iran show fires and thick black smoke rising from Iran’s naval base at Bandar Abbas, with at least one vessel burning, amid ongoing conflict in the region. https://t.co/gqq76UNdvO",,https://twitter.com/20583993/status/2028794943762808845,,50,,0.0475805,,,,,,,,,,42,,0,,,8,,,,,,186,,,,,,,,,,,,,,,18945,,18945,0.98%,,,,,42,,,,,,,,,,,,,,,,,,,10184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10184
03/03/2026,UTC +04:00,The National News,https://www.instagram.com/thenationalnews.com,658212,17841400442478033,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjE4NTcyMzc3Njk2MDAwMzg2IiwicHJvZmlsZUlkIjoiMTc4NDE0MDA0NDI0NzgwMzMiLCJuZXR3b3JrIjoiaW5zdGFncmFtIn0=/overview,,,18572377696000386,instagram,post,reel,Brand's content,,,https://www.instagram.com/thenationalnews.com,17841400442478033,The National News,"Satellite images released after US and Israeli strikes on Iran show fires and thick black smoke rising from Iran’s naval base at Bandar Abbas, with at least one vessel burning, amid ongoing conflict in the region.",,https://www.instagram.com/reel/DVa6--gjcQZ/,966,966,1.4676123,1.4676123,B,,negative,2,33%,3,50%,1,17%,957,957,9,,9,343,,,,,140,1449,,,,,,,,,,,,112226,,112226,174770,,174770,0.83%,1.29%,,,,957,,,,,,,,,174770,,,,,,,,,,174770,,,,,174770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174770
03/03/2026,UTC +04:00,The National,https://www.facebook.com/TheNationalNews,2263712,148788988477345,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjE0ODc4ODk4ODQ3NzM0NV8xMzU5Mzc5ODk2MjE4NDMxIiwicHJvZmlsZUlkIjoiMTQ4Nzg4OTg4NDc3MzQ1IiwibmV0d29yayI6ImZhY2Vib29rIn0=/overview,,,148788988477345_1359379896218431,facebook,post,reel,Brand's content,,,https://www.facebook.com/TheNationalNews,148788988477345,The National,"Satellite images released after US and Israeli strikes on Iran show fires and thick black smoke rising from Iran’s naval base at Bandar Abbas, with at least one vessel burning, amid ongoing conflict in the region.",,https://www.facebook.com/148788988477345_1359379896218431,,3007,,1.328349189,A,,negative,10,14%,28,39%,33,46%,2828,,69,,,110,,FALSE,FALSE,,,9406,organic,2651,62,38,31,32,14,FALSE,FALSE,FALSE,FALSE,351321,0,351321,461619,0,461619,2.04%,2.68%,,,3145,2828,3014,20,111,,6259,,,6259,461619,,2824,67,41,33,33,18,3016,21,274359,5167131,,263238,11121,274359,0,269813,,,,,,,,92151,88035,4116,92151,0,92151,92155,0.728592233,16,,,,,,,,,,,,,,,,,,,,,274359
03/03/2026,UTC +04:00,The National News,https://www.tiktok.com/@thenationalnews,1577932,f7543525-1f92-513e-a59b-1ab9132d7362,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6Ijc2MTI5OTA0NzU0MTg2MDI3NTkiLCJwcm9maWxlSWQiOiJmNzU0MzUyNS0xZjkyLTUxM2UtYTU5Yi0xYWI5MTMyZDczNjIiLCJuZXR3b3JrIjoidGlrdG9rIn0=/overview,,,7612990475418602759,tiktok,post,video,Brand's content,,,,,,"Satellite images released after US and Israeli strikes on Iran show fires and thick black smoke rising from Iran’s naval base at Bandar Abbas, with at least one vessel burning, amid ongoing conflict in the region.",,https://www.tiktok.com/@thenationalnews/video/7612990475418602759?utm_campaign=tt4d_open_api&utm_source=6997404317372137474,,,,,,,,,,,,,,992,,54,,,37,,,,,,1083,,,,,,,,,,,,121192,,,131391,,,,0.89%,,,,992,,,,,,,,,,,,,,,,,,21,131391,1266299,,,,,,,,,,,,,,,,,,,,,,1,,,,0.62%,,,,,,,,,,,,,,,,,131391
03/03/2026,UTC +04:00,The National Sport,https://www.facebook.com/TheNationalSport,4067,925247217543142,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjkyNTI0NzIxNzU0MzE0Ml8xODYyMzYwMjc0NzE2ODAyIiwicHJvZmlsZUlkIjoiOTI1MjQ3MjE3NTQzMTQyIiwibmV0d29yayI6ImZhY2Vib29rIn0=/overview,,,925247217543142_1862360274716802,facebook,post,link,Brand's content,F1 monitoring Middle East tensions as Bahrain and Saudi races under review | The National,,https://www.facebook.com/TheNationalSport,925247217543142,The National Sport,Many have chartered flights to weekend's season-opening race in Melbourne following airspace closures,https://www.thenationalnews.com/sport/f1/2026/03/03/f1-monitoring-middle-east-tensions-as-bahrain-and-saudi-races-under-review/?utm_term=Autofeed&utm_medium=Social&utm_source=Facebook#Echobox=1772527103,https://www.facebook.com/925247217543142_1862360274716802,,0,,0,B,,,,,,,,,0,,0,,,0,,FALSE,FALSE,,,0,organic,0,0,0,0,0,0,,,,,7,0,7,9,0,9,0.00%,0.00%,,,,0,,,,,0,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
03/03/2026,UTC +04:00,The National,https://twitter.com/TheNationalNews,1050873,20583993,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjIwMjg3OTgxNTA3MzYwMjgwNzYiLCJwcm9maWxlSWQiOiIyMDU4Mzk5MyIsIm5ldHdvcmsiOiJ0d2l0dGVyIn0=/overview,20583993,,2028798150736028076,twitter,post,link,Brand's content,,,https://twitter.com/TheNationalNews,20583993,The National,Construction worker guilty of unprovoked murder of Saudi student in Cambridge https://t.co/rgp41W2bOt,,https://twitter.com/20583993/status/2028798150736028076,,1,,0.0009516,,,,,,,,,,1,,0,,,0,,,,,,34,,,,,,,,,,,,,,,2205,,2205,1.54%,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
03/03/2026,UTC +04:00,The National,https://www.facebook.com/TheNationalNews,2263712,148788988477345,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjE0ODc4ODk4ODQ3NzM0NV8xMzU5Mzg3ODU2MjE3NjM1IiwicHJvZmlsZUlkIjoiMTQ4Nzg4OTg4NDc3MzQ1IiwibmV0d29yayI6ImZhY2Vib29rIn0=/overview,,,148788988477345_1359387856217635,facebook,post,link,Brand's content,"Qatar Airways, Oman Air and other Gulf carriers suspend flights after Iran strikes | The National",,https://www.facebook.com/TheNationalNews,148788988477345,The National,Many airlines will provide further updates by March 4,https://www.thenationalnews.com/travel/2026/03/03/qatar-airways-oman-air-and-other-gulf-carriers-suspend-flights-after-iran-strikes/?utm_term=Autofeed&utm_medium=Social&utm_source=Facebook#Echobox=1772537251,https://www.facebook.com/148788988477345_1359387856217635,,15,,0.006626285,D,,,,,,,,,14,,0,,,1,,FALSE,FALSE,,,94,organic,14,0,0,0,0,0,,,,,5660,0,5660,7967,0,7967,1.18%,1.66%,,,15,14,14,,1,,79,,60,19,7967,,14,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
03/03/2026,UTC +04:00,The National,https://www.facebook.com/TheNationalNews,2263712,148788988477345,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjE0ODc4ODk4ODQ3NzM0NV8xMzU5Mzk2NTUyODgzNDMyIiwicHJvZmlsZUlkIjoiMTQ4Nzg4OTg4NDc3MzQ1IiwibmV0d29yayI6ImZhY2Vib29rIn0=/overview,,,148788988477345_1359396552883432,facebook,post,link,Brand's content,Vladimir Putin to convey Gulf concerns to Iran over air strikes | The National,,https://www.facebook.com/TheNationalNews,148788988477345,The National,Russian leader has spoken to Arab leaders about Iranian attacks,https://www.thenationalnews.com/news/europe/2026/03/03/vladimir-putin-to-convey-gulf-concerns-to-iran-over-air-strikes/?utm_term=Autofeed&utm_medium=Social&utm_source=Facebook#Echobox=1772537253,https://www.facebook.com/148788988477345_1359396552883432,,38,,0.016786588,C,,,,,,,,,38,,0,,,0,,FALSE,FALSE,,,406,organic,36,0,2,0,0,0,,,,,13726,0,13726,18814,0,18814,2.16%,2.96%,,,40,38,40,,,,366,,298,68,18814,,38,,2,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
03/03/2026,UTC +04:00,The National,https://www.facebook.com/TheNationalNews,2263712,148788988477345,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjE0ODc4ODk4ODQ3NzM0NV8xMzU5Mzk5MTk2MjE2NTAxIiwicHJvZmlsZUlkIjoiMTQ4Nzg4OTg4NDc3MzQ1IiwibmV0d29yayI6ImZhY2Vib29rIn0=/overview,,,148788988477345_1359399196216501,facebook,post,link,Brand's content,Construction worker guilty of 'senseless' murder of Saudi student in Cambridge | The National,,https://www.facebook.com/TheNationalNews,148788988477345,The National,"Mohammed Algasim was stabbed to death by Chas Corrigan, who he had never met before",https://www.thenationalnews.com/news/uk/2026/03/03/construction-worker-guilty-of-unprovoked-murder-of-saudi-student-in-cambridge/?utm_term=Autofeed&utm_medium=Social&utm_source=Facebook#Echobox=1772538269,https://www.facebook.com/148788988477345_1359399196216501,,15,,0.006626285,D,,no sentiment,0,0%,1,50%,1,50%,13,,2,,,0,,FALSE,FALSE,,,82,organic,7,0,0,0,6,0,,,,,6431,0,6431,8749,0,8749,0.94%,1.28%,,,17,13,15,2,,,65,,49,16,8749,,9,,,,6,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
03/03/2026,UTC +04:00,The National,https://twitter.com/TheNationalNews,1050894,20583993,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6IjIwMjg4MDQ2MTEyMzA4OTYxOTEiLCJwcm9maWxlSWQiOiIyMDU4Mzk5MyIsIm5ldHdvcmsiOiJ0d2l0dGVyIn0=/overview,20583993,,2028804611230896191,twitter,post,link,Brand's content,,,https://twitter.com/TheNationalNews,20583993,The National,British holidaymakers the focus of UK evacuation plans from Gulf https://t.co/L0RXLogrPH,,https://twitter.com/20583993/status/2028804611230896191,,1,,0.0009516,,,,,,,,,,1,,0,,,0,,,,,,32,,,,,,,,,,,,,,,1576,,1576,2.03%,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
03/03/2026,UTC +00:00,The National News,https://www.linkedin.com/company/thenationalnews,321992,535663,https://app.emplifi.io/1154579/content/feed/detail/eyJpZCI6InVybjpsaTpzaGFyZTo3NDM0NTcwNTkwMjIyNTQ4OTkyIiwicHJvZmlsZUlkIjoidXJuOmxpOm9yZ2FuaXphdGlvbjo1MzU2NjMiLCJuZXR3b3JrIjoibGlua2VkaW4ifQ==/overview,,,7434570590222548992,linkedin,post,photo,Brand's content,,,https://www.linkedin.com/company/thenationalnews,535663,The National News,"Airlines in the UAE, as well as across the Middle East have suspended and rerouted flights after the US and Israel began strikes on Iran over the weekend, prompting several countries to restrict or completely close their airspace.The escalating security situation has led to cancellations, with carriers citing safety concerns and regulatory directives as they monitor developments.All Oman Air flights to and from Amman, Dubai, Bahrain, Doha, Dammam, Kuwait, Copenhagen, Baghdad and Khasab are cancelled from Wednesday until Friday.Saudia has extended the cancellation of all flights to and from eight international destinations until 11.59pm GMT on March 4.All inbound and outbound commercial flights at Kuwait International Airport (KWI) and from Hamad International Airport (DOH) in Doha are currently suspended. The national carrier of Bahrain also suspended its operations.Follow our live coverage here: https://news.ae/4cYThT3",,https://www.linkedin.com/feed/update/urn:li:share:7434570590222548992/,,16,,0.049690676,,,,,,,,,,16,16,0,,0,1,,,,,,394,,,,,,,,,,,,,,,11769,,11769,3.35%,,,,,16,,,,,377,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0
