name,slug,description,variations,isPrimary
US Congress,congress,"News from the legislative branch of the US government, comprising the House of Representatives and the Senate","US Congress, American Congress, Capitol Hill",0
Conservation,conservation,"Stories on efforts to protect wildlife, preserve natural habitats and promote sustainable environmental initiatives worldwide","Environmental conservation, wildlife protection, preservation",0
Conservative leadership race,conservative-leadership,Get the latest news on the Conservative leadership race including candidates,"Tory leadership, Conservative race",0
Conservative Party,conservative-party,"One of the UK's major political parties, traditionally advocating free markets, low taxation and strong national security","Conservatives, Tories, Conservative party UK",0
Cop31,cop,"All you need to know about the 2026 UN climate change conference in Antalya, Turkey","COP31, UN climate summit, climate conference",0
Cop27,cop27,"All you need to know about the 2022 UN climate change conference in Sharm El Sheikh, Egypt","COP27, Egypt climate summit",0
Cop28,cop28,"All you need to know about the 2023 UN climate change conference, held at Expo City Dubai in the UAE","COP28, Dubai climate summit, UAE climate conference",0
Coronavirus,coronavirus,Get all the latest coronavirus and Covid-19 news and updates from The National,"Covid-19, Covid, pandemic, SARS-CoV-2",0
Cost of living crisis,cost-of-living-crisis,Get the latest news on the cost of living crisis,"Inflation crisis, living costs, affordability crisis",0
Courts,courts,All the latest court news,"Legal proceedings, judiciary, court cases",0
Covid-19 travel,covid-travel,"Get the latest news on Covid travel, including rules, restrictions, flights and where to go","Pandemic travel, Covid travel rules, coronavirus travel",0
Cricket,cricket,"Coverage of international and domestic cricket, from Test matches to the fast-paced world of T20s","Cricket sport, cricket matches",0
Cricket World Cup,cricket-world-cup,The 2023 ICC Cricket World Cup was held in India from October 5 to November 19. Australia were crowned champions for a sixth time,"CWC, ICC World Cup, ODI World Cup",0
Crime,crime,"Get the latest news on crime stories, breaking news and updates","Criminal activity, law enforcement, crime news",0
Cristiano Ronaldo,cristiano-ronaldo,Read the latest news and pictures of the football icon continuing his career past the age of 40 with Al Nassr in Saudi Arabia,"Ronaldo, CR7, Cristiano, C Ronaldo",0
Croatia,croatia,Latest news on the European nation known for its tourism industry and history,"Croatian, Republic of Croatia",0
Crown Prince Hussein,crown-prince-hussein,"Crown Prince Hussein – the heir to Jordan's throne, playing a growing role in national and regional affairs","Hussein, Jordan crown prince, CP Hussein",0
Cruises,cruises,Read the latest news on cruises from The National,"Cruise ships, cruise holidays, ocean liners",0
Cryptocurrency,cryptocurrency,"Latest news on crypto, including Bitcoin, Ethereum and UAE stablecoin, with expert analysis on investment trends and global regulation","Crypto, digital currency, cryptocurrencies",0
Cuba,cuba,"Latest news on the Caribbean socialist country, known for its revolutionary history, US tensions, high-quality cigars and iconic vintage cars","Cuban, Republic of Cuba",0
Culture,culture,"News from the world of arts, literature, music and heritage, highlighting how societies express and preserve their cultural identities","Cultural news, arts and culture",0
Culture Summit Abu Dhabi,culture-summit-abu-dhabi,"All you need to know about the annual summit for global leaders in art, heritage, museums, media and technology","Culture Summit, Abu Dhabi culture summit",0
Cyber crime,cyber-crime,"Latest news updates on criminal activities carried out online, including hacking, data breaches and financial fraud, posing risks to businesses and people","Cybercrime, cyber attacks, hacking, online crime",0
Cycling,cycling,"News updates from the world of professional cycling, covering major races like the Tour de France and rising stars","Cycling sport, bike racing, cycling races",0
Cyprus,cyprus,Latest news on the island nation dealing with ongoing disputes between Greek and Turkish communities,"Cypriot, Republic of Cyprus",0
Czech Republic,czech-republic,Latest news on the central European country balancing EU integration with national political dynamics,"Czech, Czechia, CR",0
Damac,damac,"A luxury real estate developer in the UAE, known for high-end residential, commercial and hospitality projects","Damac Properties, Damac developer",0
Damascus,damascus,"Latest news on the capital of Syria, one of the world's oldest cities and a major cultural centre of the Arab world","Syrian capital, Damascus Syria",0
Dana White,dana-white,"The CEO and president of UFC, shaping the future of mixed martial arts with blockbuster fights and global expansion","Dana White UFC, White, UFC president",0
Daniil Medvedev,daniil-medvedev,The Russian tennis star challenging for dominance with his unique playing style,"Medvedev, Daniil, Russian tennis player",0
Data Explained,data-explained,"Get the latest data, visual and open-source intelligence stories from the National using charts, graphs, maps and satellite images","Data journalism, visual data, data stories",0
Davos 2026,davos,"Get the latest news on Davos 2026, the World Economic Forum's annual meeting in Switzerland","WEF, World Economic Forum, Davos summit",0
Day in the Life,day-in-the-life,"Welcome to The National's series Day in the Life, where readers can experience a typical 24 hours in the life of a UAE resident","Day in the Life series, DITL",0
Deena Kamel fellowship work,deena-kamel-fellowship-work,"Deena was a mental health journalism fellow from 2020-21 and is The National's aviation reporter. She has reported on the mental health of aviation industry workers during the pandemic, the impact of climate change on vulnerable communities and on a number of business start-ups in the health sector","Deena Kamel, mental health fellowship",0
Deepika Padukone,deepika-padukone,Get the latest news on Deepika Padukone,"Deepika, Padukone, Bollywood actress",0
Defence,defence,"Latest news on global and regional military strategies, armed forces and weapons","Defense, military, armed forces",0
Deira,deira,"One of Dubai's oldest districts, known for its traditional souqs, bustling waterfront and cultural heritage","Deira Dubai, Old Dubai",0
Delhi,delhi,Latest news and stories from India's capital city,"New Delhi, Indian capital, Delhi India",0
Delhi Capitals,delhi-capitals,Read the latest news reports about the Indian Premier League franchise,"DC, Capitals, Delhi IPL",0
Deliveroo,deliveroo,"A popular food delivery service that connects customers with restaurants, shaping modern dining habits and the gig economy","Deliveroo app, food delivery",0
Democrats,democrats,"Latest news about the US Democratic Party, regrouping after election defeats at all levels of legislative power in 2024","Democratic Party, Dems, Democratic party USA",0
Denmark,denmark,"Latest news on the Scandinavian country known for its welfare policies, high living standards and renewable energy","Danish, Kingdom of Denmark",0
Design,design,"A showcase of creative innovations across fashion, interiors, digital media and products","Design trends, creative design",0
Destinations,destinations,Read the latest news on destinations,"Travel destinations, holiday destinations",0
Diabetes,diabetes,"Latest news and stories about the chronic medical condition affecting the body's ability to regulate blood sugar, requiring lifelong management through diet, medication and lifestyle","Diabetes disease, diabetic, blood sugar",0
Diego Maradona,diego-maradona,Remembering the footballing legend whose skills and passion left an indelible mark on the sport from Argentina to the UAE,"Maradona, Diego, El Pibe de Oro",0
DIFC,difc,"Dubai International Financial Centre, a global finance hub offering a business-friendly regulatory environment","Dubai International Financial Centre, Dubai financial centre",0
Disability,disability,"Stories of resilience, innovation and advocacy aimed at improving accessibility, promoting inclusivity and breaking down barriers","Disabled, disabilities, special needs",0
Diseases,diseases,"Latest updates on illnesses, ranging from infectious viruses to chronic conditions, often requiring medical research and treatment","Illness, disease outbreaks, medical conditions",0
Disney,disney,"The entertainment giant behind beloved animated classics, blockbuster franchises and theme park experiences worldwide with Disneyland Abu Dhabi set to open between 2030 and 2033","Walt Disney, Disney Company, Disney entertainment",0
Disneyland Abu Dhabi,disneyland-abu-dhabi,"Follow the latest news, video and pictures about the theme park set to open on the UAE capital's Yas Island in the early 2030s","Disney Abu Dhabi, Abu Dhabi Disney, Disney UAE",0
District 2020,district-2020,"A smart city development repurposing the Expo 2020 Dubai site into a hub for innovation, business and sustainable living","D2020, Expo City Dubai",0
Doha,doha,"Latest news from the capital city of Qatar, a fast-growing economic hub that has hosted major global events such as Fifa World Cup","Qatari capital, Doha Qatar",0
Dolce & Gabbana,dolce-gabbana,"The Italian fashion house celebrated for its bold prints, Sicilian-inspired designs, and luxurious aesthetics, blending tradition with contemporary elegance","D&G, DG, Dolce and Gabbana",0
Donald Trump,donald-trump,"Donald Trump is the 47th US President. He beat Kamala Harris in 2024 election, after previously serving as the 45th president from 2017 to 2021","Trump, President Trump, DJT, The Donald",0
DP World Tour Championship,dp-world-tour-championship,The season-ending golf tournament played on the Greg Norman-designed Earth course at the Jumeirah Golf Estates in Dubai,"DP World Tour, Dubai golf championship",0
Drones,drones,The latest news on drones,"UAV, unmanned aerial vehicles, drone technology",0
Drought,drought,Read the latest news on drought,"Water shortage, dry season, drought conditions",0
Drugs,drugs,Read the latest news on drugs,"Narcotics, illegal drugs, pharmaceuticals",0
Du,du,Du is a Dubai-based telecoms operater and one of two in the UAE offering services across the country,"Du telecom, Du UAE",0
Dubai,dubai,Read the latest news and developments from the UAE's most populous city and global tourism hotspot,"DXB, Dubai emirate, Dubai UAE",0
Dubai Airport,dubai-airports,"The latest news on Dubai International Airport (DXB), the world's busiest international airport and Emirates airline's primary hub","DXB, Dubai International Airport, DIA",0
Dubai Airshow,dubai-airshow,"A major global aviation event, showcasing the latest in aerospace technology, defence and commercial aircraft","Dubai Air Show, airshow Dubai",0
Dubai Creek,dubai-creek,"A historic waterway central to Dubai's trade and heritage, home to traditional dhows and now modern developments","Creek Dubai, Dubai waterway",0
Dubai Desert Classic,dubai-desert-classic,A premier DP World Tour golf event attracting the biggest names in the sport,"DDC, Desert Classic golf",0
Dubai Design Week,dubai-design-week,"A premier design event highlighting creativity across architecture, interiors, fashion and innovation in the UAE","DDW, Design Week Dubai",0
Dubai Financial Market,dubai-financial-market,Follow the latest stock movements and IPO news on the DFM,"DFM, Dubai stock exchange, Dubai bourse",0
Dubai Islamic Bank,dubai-islamic-bank,"Latest financial news on DIB, a public joint-stock company and bank that operates on Sharia principles","DIB, Dubai Islamic, Islamic bank Dubai",0
Dubai Mall,dubai-mall,"Latest openings, news and trends on Dubai's largest mall housing luxury brands, an aquarium and other unique attractions. It attracts huge numbers of tourists every year","The Dubai Mall, Dubai shopping mall",0
Dubai Metro,dubai-metro,Latest news and updates about the city's driverless public transport system including news of the third Blue Line scheduled to open in 2029,"Metro Dubai, RTA Metro",0
Dubai Police,dubai-police,"The law enforcement agency pioneering smart policing, AI technology and crime prevention in Dubai","Dubai law enforcement, DXB police",0
Dubai South,dubai-south,"A planned city focused on logistics, business and aviation. It is home to Al Maktoum International Airport and the site of Expo 2020 Dubai","Dubai South city, Al Maktoum city",0
Dubai Tram,dubai-tram,A modern network that opened in 2014 and connects much of Dubai Marina with Mina Seyahi and Al Sufouh,"Dubai tram system, RTA tram",0
Dubai World Cup 2026,dubai-world-cup,"All you need to know about the Dubai World Cup 2026, including the racecard, predictions and news","DWC, Dubai World Cup horse racing",0
Earnings,earnings,"News reports on quarterly and annual corporate profits and financial performance, offering insights into economic and market trends","Corporate earnings, company profits, financial results",0
Earthquakes,earthquakes,"News on seismic events caused by shifts in the Earth's tectonic plates, leading to destruction, tsunamis and humanitarian crises","Earthquake, seismic activity, tremors",0
Easter 2025,easter,"All the news on Easter 2025, including dates, eggs and holidays","Easter Sunday, Easter holiday",0
Easyjet,easyjet,"Latest news on the British low-cost airline, flights, tickets and air travel","EasyJet, Easy Jet airline",0
Ebrahim Raisi,ebrahim-raisi,"Iran's former president, a hardline cleric who died in a helicopter crash in May 2024","Raisi, Iran president, President Raisi",0
Economy,economy,"Read UAE and international business news with latest updates on economic trends, including growth, inflation and financial markets","Economics, economic news, financial economy",0
Edinburgh,edinburgh,"Latest updates on Scotland's capital, famous for its history, festivals and political significance in the UK","Scottish capital, Edinburgh Scotland",0
Education,education,Read the latest education and schooling news,"Schools, learning, educational system",0
Egypt,egypt,Latest news on the key regional power in North Africa,"Egyptian, Arab Republic of Egypt",0
Eid Al Adha 2026,eid-al-adha,"The latest news on Eid Al Adha 2026, including dates and holidays","Eid ul-Adha, Feast of Sacrifice, Greater Eid",0
Eid Al Fitr 2026,eid-al-fitr,"All you need to know about Eid Al Fitr 2026 in the UAE, including start date and holidays","Eid ul-Fitr, Lesser Eid, Ramadan Eid",0
Eid holidays,eid-holidays,Religious holidays in the UAE marking the end of Ramadan (Eid Al Fitr) and the completion of Hajj (Eid Al Adha),"Eid break, Eid vacation, Islamic holidays",0
Electric vehicles,electric-vehicles,Latest news on the EV industry and its impact on the evironment,"EV, electric cars, e-vehicles",0
Elon Musk,elon-musk,"The latest stories about the billionaire entrepreneur behind Tesla, SpaceX and other ventures shaping the world","Musk, Elon, Tesla CEO",0
Emaar,emaar,"A leading property developer in Dubai, responsible for iconic landmarks such as Burj Khalifa and the Dubai Mall","Emaar Properties, Emaar developer",0
Emirates Airline Festival of Literature,emirates-airline-festival-of-literature,"A major literary gathering in Dubai, hosting world-renowned authors, discussions, and book signings","Emirates Lit Fest, Dubai literature festival",0
Emirates airline,emirates-airlines,"Latest news on the Dubai-based airline, flights, tickets and air travel","Emirates, EK, Emirates Airways",0
Emirates ID,emirates-id,News and information about the government-issued identification card for UAE citizens and residents,"EID, UAE ID card, Emirates identity card",0
Emirates NBD,emirates-nbd,"One of the UAE's largest banks, offering a range of financial services and corporate banking solutions","ENBD, Emirates Bank",0
Emirati,emirati,Stories about citizens of the UAE,"UAE nationals, Emirati citizens, UAE citizens",0
Emiratisation,emiratisation,A UAE federal government-driven initiative to increase Emirati employment in the private sector and diversify the economy,"Nationalisation UAE, Emirati employment, Nafis",0
Emma Raducanu,emma-raducanu,Latest news on the British tennis star who won the US Open in 2021,"Raducanu, Emma, British tennis",0
Emmanuel Macron,emmanuel-macron,Emmanuel Macron is the current President of France. He was elected in 2017 and won a second term in the 2022 election,"Macron, French president, President Macron",0
Emmys 2026,emmys,"All you need to know about the Emmy Awards 2026, including date, winners list and fashion","Emmy Awards, Emmys ceremony, Television Academy",0
Employment law,employment-law,Latest news and updates on labour laws in UAE and other countries from employment visa to benefits,"Labour law, employment regulations, labor laws, work laws",0
Energy,energy,All the latest energy news,"Power, energy sector, utilities",0
England,england,"Latest news on the largest country within the UK, home to historic cities, cultural landmarks and the nation's capital, London","English, England UK",0
England Cricket,england-cricket,"The latest news from England's national cricket teams across Tests, the Ashes and T20 internationals ODIs","England cricket team, Three Lions, English cricket, ECB",0
Environment,environment,Read the latest environment and climate news,"Environmental news, ecology, green news",0
Erik ten Hag,erik-ten-hag,"Erik ten Hag was the manager of Manchester United from April 2022 until October 2024. The Dutchman, who joined from Ajax, was replaced by Ruben Amorim","Ten Hag, Erik, Man United manager",0
Eritrea,eritrea,A highly militarised East African nation with strict governance and ongoing human rights concerns. It shares borders with Ethiopia and Sudan,"Eritrean, State of Eritrea",0
Erling Haaland,erling-haaland,Erling Haaland is a Norwegian footballer who plays for Premier League side Manchester City,"Haaland, Erling, Man City striker, The Viking",0
Estonia,estonia,Latest news on the Baltic nation known for its digital advancements and strong cyber security,"Estonian, Republic of Estonia",0
Ethiopia,ethiopia,"Latest political, financial, health and cultural news on Africa's second-most populous country","Ethiopian, Federal Democratic Republic of Ethiopia",0
Etihad Airways,etihad-airways,"The latest news and announcements about the UAE's national airline, based at Zayed International Airport in Abu Dhabi","Etihad, EY, UAE airline, Abu Dhabi airline",0
Etihad Rail,etihad-rail,Latest news and announcements for the UAE's major nationwide railway project for passengers and freight,"UAE railway, Etihad train, UAE rail",0
Etisalat,etisalat,"Etisalat, now branded e&, is a UAE-based telecoms operator. It trades as EAND on the Abu Dhabi Securities Exchange","e&, Etisalat telecom, EAND",0
EU,eu,"Latest news on the European Union, a political and economic bloc with 27 member states, shaping regional and global policies","European Union, EC, European bloc",0
Euro 2020,euro-2020,"The delayed European Championship, which saw Italy triumph in the final against England","European Championship 2020, Euros 2020",0
Europa League,europa-league,"Uefa's second-tier club competition, featuring top teams vying for continental silverware","UEFA Europa League, UEL, European League",0
Europe,europe,"All the news coming out of the continent, including debates about trade, travel and diplomatic relations post-Brexit","European continent, European nations",0
Euro 2024,euros,"Euro 2024 schedules, dates, fixtures and teams - all you need to know about the year's football tournament","European Championship 2024, UEFA Euro 2024, Euros",0
Everton,everton,"Get the latest news, results, match reports and player ratings on Everton","Everton FC, Toffees, EFC",0
Exclusive,exclusive,All the latest exclusives from The National,"Exclusive stories, exclusive news",0
Expo 2020 Dubai,expo-2020-dubai,"The world expo, held in Dubai in 2021, showcasing global innovations, sustainability and cultural exchange under the theme 'Connecting Minds, Creating the Future'","Dubai Expo, World Expo 2020, Expo Dubai",0
FA Cup,fa-cup,"England's oldest and most prestigious knock-out football tournament, known for its historic giant killings and dramatic finals","FA Cup, Football Association Cup, English Cup",0
Facebook,facebook,All the latest news and trends on the social media and networking platform owned by Meta,"FB, Facebook platform, Meta Facebook",0
Family,family,Latest news and updates on family laws and programmes in UAE and around the world,"Family law, families, parenting",0
Fashion,fashion,"Latest trends and news on a dynamic industry that shapes global style through runway shows, designer collections and cultural influences from around the world","Fashion industry, haute couture, style",0
Fatima Al Mahmoud fellowship work,fatima-al-mahmoud-fellowship-work,Fatima is a social media journalist at The National and was a mental health journalism fellow from 2022-2023. She contributed reporting and commentary on conflict and trauma,"Fatima Al Mahmoud, mental health fellowship",0
Federal Authority For Identity And Citizenship,federal-authority-for-identity-and-citizenship,"The ICP is a UAE government entity managing citizenship, residency, visas and national identification in the UAE","ICP, FAIC, UAE identity authority",0
Federal Reserve,federal-reserve,"News on the US central bank, which influences global monetary policy, interest rates and economic stability","Fed, US Fed, Federal Reserve Bank, central bank",0
Fernando Alonso,fernando-alonso,Latest news on the two-time F1 world champion continuing to compete at the highest level with Aston Martin,"Alonso, Fernando, Nando, F1 driver",0
Ferrari,ferrari,Latest on the Italian sports car manufacturer renowned for its high-performance vehicles and Formula 1 racing legacy,"Ferrari cars, Scuderia Ferrari, Prancing Horse",0
Festivals,festivals,"A look at global cultural, music, film and religious festivals that bring communities together through entertainment and tradition","Festival events, cultural festivals, celebrations",0
Fifa,fifa,"Latest news and updates about football's world governing body, responsible for organising the World Cup and the Club World Cup","FIFA, Federation Internationale de Football Association, world football",0
Fifa Club World Cup 2025,fifa-club-world-cup,"Latest news, fixtures and updates about the revamped international club tournament, to be played in the US from June 14 to July 13","Club World Cup, FIFA CWC, Intercontinental Cup",0
Film,film,"The latest news from the movie industry, exploring new releases, filmmaking trends, actors and behind-the-scenes insights","Movies, cinema, films",0
Film festivals,film-festivals,"Latest updates from global film festivals, including Cannes, Venice, Sundance and Red Sea Film Festival","Film festival, movie festivals, cinema festivals",0
Film reviews,film-reviews,"Find reviews for all the latest and trending movie releases looking into direction, acting and critics' views","Movie reviews, cinema reviews, film critiques",0
Finance,finance,"Latest news on banking, investments, stock markets and financial trends shaping economies","Financial news, financial markets, money",0
Finland,finland,Latest news on Finland,"Finnish, Republic of Finland",0
Fintech,fintech,"Latest digital news on financial technology, software, apps and innovation","Financial technology, fintech sector, digital finance",0
First Abu Dhabi Bank,first-abu-dhabi-bank,Latest financial stories and trends on the UAE's largest bank,"FAB, First Abu Dhabi Bank, FAB bank",0
Fitness,fitness,"Latest workout trends, exercise routines, expert advice and tips on weight management and leading an active lifestyle","Exercise, workouts, gym, health and fitness",0
Flights,flights,"All the news on flights to and from the UAE, including Dubai, India and the Philippines","Air travel, aviation, flying",0
Flooding,flooding,"Latest news on floods from affected regions due to heavy rain, storms or rising sea levels","Floods, flood disasters, inundation",0
Floyd Mayweather,floyd-mayweather,The undefeated retired boxing legend known for his counterpunching brilliance and record-breaking fights,"Mayweather, Money Mayweather, Floyd, TBE",0
Flydubai,flydubai,"Latest travel updates on UAE-based low-cost airline, including flights and tickets","Fly Dubai, FZ, Dubai airline",0
Food security,food-security,The latest news on food security in the UAE and around the world,"Food safety, food supply, agricultural security",0
Ford,ford,"American car giant known for its rich history in manufacturing, innovations and a strong presence in the EV market","Ford Motor Company, Ford cars, Ford vehicles",0
F1,formula-one,"The world's premier motorsport championship, featuring cutting-edge technology and intense rivalries on the track","Formula One, Formula 1, F1 racing, Grand Prix",0
France,france,"Latest news on the European powerhouse with global influence in politics, culture and military affairs","French, French Republic, République française",0
French Open,french-open,"All the news on one of tennis's four Grand Slam tournaments, played on the clay courts of Roland Garros","Roland Garros, French Open tennis, Roland-Garros",0
From the Ground Up,from-the-ground-up,"Welcome to From the Ground Up, where The National celebrates the history behind the buildings that define the UAE","From Ground Up, building stories, UAE architecture series",0
Fuel prices,fuel-prices,"Read the latest on the UAE's fuel prices each month, in Abu Dhabi, Dubai and the other emirates","Petrol prices, gas prices, fuel costs",0
Fujairah,fujairah,"Read the latest news and events from the emirate known for its rugged mountains, pristine beaches and port","Fujairah emirate, Fujairah UAE",0
Fulham,fulham,"Get the latest news, results, match reports and player ratings on Fulham Football Club","Fulham FC, The Cottagers, FFC",0
Furne One,furne-one,"The celebrated Philippine-born designer behind Amato Couture, known for his extravagant, theatrical gowns worn by celebrities and royalty","Furne Amato, Amato Couture, Filipino designer",0
G7,g7,Latest news from the informal political and economic forum comprising seven of the world's most advanced economies,"Group of Seven, G-7, G7 summit",0
Gabriel Jesus,gabriel-jesus,Get the latest news on the Brazilian forward bringing creativity and energy to Arsenal's attacking line-up,"Jesus, Gabriel, Arsenal striker, Brazilian forward",0
Gaming,gaming,"Covering the latest in video game releases, industry news, esports and the evolution of gaming technology","Video games, gaming industry, esports, games",0
Garden,garden,"Tips and inspiration for home gardening, landscaping and sustainable urban farming, whether for decorative purposes or growing fresh produce","Gardening, gardens, landscaping, horticulture",0
Gas,gas,"News and updates about gas, from the latest deals and shipments to new technology","Natural gas, LNG, gas industry",0
Gatwick Airport,gatwick-airport,News from one of the UK's busiest airports,"LGW, London Gatwick, Gatwick",0
Gaza,gaza,"Latest news from the Palestinian enclave battered by Israel's war since October 7, 2023","Gaza Strip, Palestinian Gaza, Gaza Palestine",0
GCC,gcc,"The Gulf Co-operation Council is an economic and political alliance of six countries: the UAE, Saudi Arabia, Bahrain, Kuwait, Oman and Qatar","Gulf Cooperation Council, Gulf states, GCC countries",0
GCSEs,gcses,"All you need to know about the UK's GCSE exams, including results day and times","GCSE, General Certificate of Secondary Education, UK exams",0
General Motors,general-motors,Latest news about the US car maker and now a Formula One constructor under the Cadillac brand,"GM, General Motors Company, Cadillac F1",0
Generation Start-up,generation-start-up,Get the latest news on The National's Generation Start-up series,"Gen Startup, startup series, entrepreneurship",0
Genocide,genocide,"Latest news stories covering genocide and the UN agencies and conventions playing roles in prevention, investigation and prosecution","Ethnic cleansing, mass atrocities, genocide prevention",0
George Russell,george-russell,The latest news on F1 driver George Russell,"Russell, George, Mercedes driver, GR63",0
Georgia,georgia,"The latest news and updates on Georgia, a post-Soviet country in the Caucasus region","Georgian, Republic of Georgia, Sakartvelo",0
Germany,germany,Latest news stories from Europe's largest economy and a key player in global trade and politics,"German, Deutschland, Federal Republic of Germany",0
Ghana,ghana,Latest news from the West African country,"Ghanaian, Republic of Ghana",0
Gilberto Ramirez,gilberto-ramirez,All you need to know about Mexican boxer Gilberto Ramirez,"Zurdo Ramirez, Gilberto Ramirez boxer, Zurdo",0
Gitex 2025,gitex,"The latest news on Gitex Dubai 2025, including dates, location and tickets","GITEX, Gulf Information Technology Exhibition, Gitex Dubai",0
Global Village,global-village,"Updates from Dubai's popular seasonal entertainment attraction, now in its 30th year","Global Village Dubai, GV Dubai",0
Godolphin,godolphin,News from the elite horse racing stable owned by the Dubai ruling family,"Godolphin racing, Godolphin stables",0
Gold,gold,Latest news and prices on the commodity trading at record highs in 2026,"Gold prices, gold market, precious metals",0
Golf,golf,"The latest from the world of professional golf, including major tournaments, the Ryder Cup and LIV Golf","Golf sport, professional golf, PGA",0
Google,google,News about the Alphabet subsidary that is one of world's largest technology companies,"Google Inc, Google search, Alphabet Google",0
Google Doodle,google-doodle,Get the latest information on all the Google Doodles,"Google Doodles, Doodle art",0
Grammys 2026,grammys,"Get the latest news and updates on the 2026 Grammys Awards including dates, how to watch and winners","Grammy Awards, Grammys ceremony, Recording Academy",0
Greece,greece,The latest news and updates on Greece,"Greek, Hellenic Republic, Greek nation",0
Greenland,greenland,Latest news on the autonomous Danish territory in the Arctic region,"Greenlandic, Kalaallit Nunaat",0
Gucci,gucci,"Latets from the Italian luxury brand renowned for its bold fashion statements, high-end accessories and cultural influences","Gucci brand, Gucci fashion, Italian luxury",0
Hair,hair,"All you need to know on the latest hair trends, styles, tips and advice","Hairstyles, hair care, hair fashion",0
Hajj 2026,hajj,"Get the latest news on Hajj 2026, including dates, packages, news and balloting","Hajj pilgrimage, Mecca pilgrimage, Islamic pilgrimage",0
Halloween,halloween,"A festival on October 31 rooted in ancient traditions, featuring costumes, trick-or-treating and spooky celebrations","Halloween night, All Hallows' Eve, October 31",0
Hamas,hamas,Hamas is a militant group that controlled the Gaza Strip for decades,"Islamic Resistance Movement, Hamas Gaza",0
Harry Kane,harry-kane,"England's record-breaking striker, now making waves in Germany's Bundesliga with Bayern Munich","Kane, Harry, England captain, Bayern striker",0
Harry Potter,harry-potter,Latest stories on the beloved fantasy films and novels created by JK Rowling,"HP, Potter, Wizarding World, JK Rowling",0
Hassan Nasrallah,hassan-nasrallah,"Hassan Nasrallah was the leader of Hezbollah, the powerful Iran-backed militia and political party based in Lebanon. He was assassinated in an Israeli air strike in September 2024","Nasrallah, Hezbollah leader, Sayyed Hassan",0
Hatta,hatta,"Latest news and development of Dubai's enclave that is home to adventure tourism, scenic landscapes and eco-friendly retreats","Hatta Dubai, Hatta mountains",0
Haute couture,haute-couture,"The pinnacle of fashion design, showcasing exclusive, handcrafted garments created by elite fashion houses for the most prestigious clients","High fashion, couture, designer fashion",0
Health news,health-news,"The latest headlines on health and healthcare including medicine, disease, mental health and nutrition","Healthcare, health updates, medical news",0
Heathrow,heathrow,"The UK's largest and busiest airport, a global aviation hub connecting London to the rest of the world","LHR, London Heathrow, Heathrow Airport",0
Hernan Crespo,hernan-crespo,Hernan Crespo is an Argentinian former footballer who was previously manager of UAE Pro League club Al Ain,"Crespo, Hernan, Argentine striker",0
Hezbollah,hezbollah,Latest headlines about the Lebanese-based militant group and political party founded in 1982 and backed by Iran,"Hizbollah, Party of God, Lebanese militia",0
Hiking,hiking,All you need to know about hiking from The National,"Trekking, hiking trails, mountain walks",0
Hilton,hilton,"News and updates on Hilton hotels, including new openings, luxury experiences, and industry strategies shaping the hospitality sector","Hilton Hotels, Hilton Worldwide",0
Hindu,hindu,"All the latest stories on Hinduism, including religious festivals and holiday dates","Hinduism, Hindu religion, Hindu faith",0
History,history,The latest history stories from The National,"Historical news, historical events",0
Holidays,holidays,"Travel tips, destination ideas and insights on making the most of seasonal holidays around the world","Vacation, holiday travel, holiday breaks",0
Hollywood,hollywood,"The latest news, celebrity stories and gossip from the centre of the global entertainment industry","Hollywood entertainment, LA entertainment, film industry",0
Home,home,"Interior design trends, home improvement guides and lifestyle inspirations to create comfortable, functional and stylish living spaces","Home decor, interior design, house",0
Honduras,honduras,The latest news and updates on Honduras,"Honduran, Republic of Honduras",0
Hong Kong,hong-kong,The latest news and updates from one of China's global financial hubs,"HK, Hong Kong SAR, HKSAR",0
Hope Probe,hope-probe,The latest news on the Hope Probe and the Emirates Mars Mission,"Emirates Mars Mission, Al Amal probe, UAE Mars mission",0
Hospitals,hospitals,"The latest news on hospitals, clinics and medical centres","Healthcare facilities, medical centers, clinics",0
Hotel Insider,hotel-insider,"A closer look at the world's most exclusive hotels, unique stays and behind-the-scenes insights from the hospitality industry","Hotel insider series, luxury hotels",0
Hotel reviews,hotel-reviews,"In-depth evaluations of top hotels, highlighting service, amenities and guest experiences from around the world","Hotel critiques, accommodation reviews",0
Hotels,hotels,"The latest news on the hospitality sector, including openings and trends","Hospitality, accommodation, lodging",0
House prices,house-prices,"House prices in Dubai, the UAE and around the world","Property prices, real estate prices, home values",0
Houthis,houthis,"News and stories about the Iran-backed rebel group who have controlled much of northern Yemen, including the capital Sanaa, since 2014","Houthi rebels, Ansar Allah, Yemen rebels",0
HSBC,hsbc,The latest news and updates on the global bank that has its headquarters in London,"HSBC Bank, Hongkong and Shanghai Banking Corporation",0
Human rights,human-rights,The latest news and updates on human rights,"Human rights issues, civil rights, rights violations",0
Human trafficking,human-trafficking,The latest news and updates on human trafficking,"Trafficking, modern slavery, people smuggling",0
Humanitarianism,humanitarianism,The latest humanitarian stories from The National including the UNHCR and OCHA,"Humanitarian aid, humanitarian crisis, relief work",0
Hungary,hungary,The latest news and updates on Hungary,"Hungarian, Republic of Hungary",0
Hunger,hunger,The latest stories and news on global efforts to end world hunger,"Famine, starvation, food crisis, malnutrition",0
Hurricanes,hurricanes,"The latest news on hurricanes, typhoons, cyclones and tropical storms","Hurricane, tropical storms, cyclone, typhoon",0
